Close,High,Low,Open,SMA8,SMA24,SMA48,MACD,RSI,ATR,SO,Year,Month,Day,Hour,Weekday,Signal
BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,,,
65511.26171875,65890.1953125,65370.3671875,65757.3125,65511.26171875,65511.26171875,65511.26171875,0.0,-71.85094213849115,519.828125,27.10406083741621,2024,4,15,0,0,0
65342.6640625,65719.09375,65192.66015625,65563.328125,65342.6640625,65342.6640625,65342.6640625,-13.44938568375801,-71.85094213849115,526.43359375,28.494364347355067,2024,4,15,1,0,0
65195.75390625,65420.25,65037.37109375,65353.86328125,65195.75390625,65195.75390625,65195.75390625,-35.552713020792,-71.85094213849115,382.87890625,41.36629360213024,2024,4,15,2,0,0
65198.48828125,65391.53515625,65134.578125,65190.6484375,65198.48828125,65198.48828125,65198.48828125,-52.2468488202212,-71.85094213849115,256.95703125,24.871923503747283,2024,4,15,3,0,0
64948.38671875,65219.609375,64791.1171875,65203.765625,64948.38671875,64948.38671875,64948.38671875,-84.68201605544164,-71.85094213849115,428.4921875,36.703010191988625,2024,4,15,4,0,0
65521.671875,65521.671875,64948.1953125,64948.1953125,65521.671875,65521.671875,65521.671875,-63.396997680698405,-71.85094213849115,573.4765625,100.0,2024,4,15,5,0,1
66528.765625,66528.765625,65421.41796875,65513.03515625,66528.765625,66528.765625,66528.765625,34.33973463776056,-71.85094213849115,1107.34765625,100.0,2024,4,15,6,0,1
66379.234375,66584.484375,66268.5625,66549.4296875,65578.2783203125,66379.234375,66379.234375,98.5943427546299,-71.85094213849115,315.921875,35.03140610317029,2024,4,15,7,0,0
66296.2890625,66482.4296875,66172.0,66352.8984375,65676.40673828125,66296.2890625,66296.2890625,141.19596985184762,-71.85094213849115,310.4296875,40.037750094375234,2024,4,15,8,0,0
66698.1328125,66845.7890625,66221.2265625,66320.796875,65845.84033203125,66698.1328125,66698.1328125,205.02015381857927,-71.85094213849115,624.5625,76.35845091564096,2024,4,15,9,0,1
66580.625,66713.59375,66498.15625,66674.078125,66018.94921875,66580.625,66580.625,243.31460175469692,-71.85094213849115,215.4375,38.27966347548593,2024,4,15,10,0,0
65959.7734375,66732.03125,65959.7734375,66552.6484375,66114.10986328125,65959.7734375,65959.7734375,221.01793800943415,-71.85094213849115,772.2578125,0.0,2024,4,15,11,0,2
66111.90625,66260.328125,65915.1796875,65922.609375,66259.5498046875,66111.90625,66111.90625,213.16626982713933,-71.85094213849115,345.1484375,56.99766857556757,2024,4,15,12,0,0
65850.3046875,66401.5546875,65850.3046875,66095.6640625,66300.62890625,65850.3046875,65850.3046875,183.71693199398578,630.330088138718,495.03013392857144,51.550201902676065,2024,4,15,13,0,0
64246.4921875,65988.1328125,64246.4921875,65931.28125,66015.3447265625,64246.4921875,64246.4921875,30.61099002220726,-168.97069315370567,582.3024553571429,0.0,2024,4,15,14,0,2
64538.9296875,64751.25390625,63954.359375,64295.609375,65785.306640625,64538.9296875,64538.9296875,-66.36430343172105,-302.27988491222607,601.62109375,20.217344901284235,2024,4,15,15,0,0
64194.86328125,64874.36328125,64006.5625,64615.1015625,65522.62841796875,64194.86328125,64194.86328125,-169.03270189639443,-242.73654713770554,636.2583705357143,8.31781963399378,2024,4,15,16,0,2
63970.46484375,64740.12890625,63491.90625,64173.39453125,65181.669921875,63970.46484375,63970.46484375,-265.4453372815842,-197.61780554371546,707.0630580357143,14.268792933563477,2024,4,15,17,0,0
63216.14453125,64040.88671875,63197.83984375,63936.1875,64761.10986328125,63216.14453125,63216.14453125,-398.1309843807321,-140.09547777221536,736.6741071428571,0.501780216838442,2024,4,15,18,0,2
63519.015625,63615.14453125,62440.484375,63191.41015625,64456.01513671875,63519.015625,63519.015625,-473.3892134113339,-107.67593820706873,779.6157924107143,24.48255742810071,2024,4,15,19,0,0
63184.92578125,63640.47265625,63047.73828125,63344.31640625,64090.142578125,63184.92578125,63184.92578125,-553.608506159966,-34.37022136087464,742.8577008928571,16.89874955442568,2024,4,15,20,0,2
63290.19140625,63422.4609375,62764.2734375,63165.6875,63770.12841796875,63290.19140625,63290.19140625,-601.752192716187,-40.61292749701249,767.3052455357143,19.28826929181615,2024,4,15,21,0,0
63465.90234375,63524.26953125,62799.30078125,63273.6015625,63672.5546875,63465.90234375,63465.90234375,-618.5972034913939,-50.53237811197951,796.9151785714286,23.27689096419622,2024,4,15,22,0,0
63434.3203125,63553.453125,63241.59375,63474.16015625,63534.478515625,64966.021158854164,63434.3203125,-627.2646850418605,-31.509713525210174,774.5792410714286,23.15798863317787,2024,4,15,23,0,0
63269.0703125,63678.3515625,62987.15625,63441.9609375,63418.75439453125,64872.596516927086,63269.0703125,-640.0894676236712,-31.05544270888626,808.5619419642857,19.307395716142562,2024,4,16,0,1,0
63206.40234375,63838.44921875,63141.78515625,63276.8828125,63323.24658203125,64783.585611979164,63206.40234375,-647.8420615396317,-37.35122995532467,803.1623883928571,19.33613665813967,2024,4,16,1,1,0
63418.7265625,63492.00390625,62806.328125,63181.39453125,63348.5693359375,64709.542805989586,63418.7265625,-629.59567110012,-40.420970797181525,827.4857700892857,24.69641057400442,2024,4,16,2,1,0
63014.1875,63565.24609375,62890.7421875,63426.5078125,63285.4658203125,64618.5302734375,63014.1875,-640.3961089768491,-38.38379386430063,836.2896205357143,16.171363513242706,2024,4,16,3,1,2
62441.27734375,63050.6875,61817.91796875,62995.04296875,63192.509765625,64514.0673828125,62441.27734375,-687.2622638349494,-60.303590942040756,799.9416852678571,20.394913412997635,2024,4,16,4,1,2
62726.25,62896.47265625,62442.33984375,62503.6875,63122.01708984375,64397.591471354164,62726.25,-693.4158511729474,-59.643440520982836,775.4587053571429,29.718576266854114,2024,4,16,5,1,0
63202.5546875,63267.4375,62705.3828125,62739.5078125,63089.0986328125,64258.999348958336,63202.5546875,-652.3390473645632,-156.95210427073863,753.6196986607143,47.383188563881696,2024,4,16,6,1,1
63549.78515625,63790.70703125,63170.55859375,63230.65234375,63103.53173828125,64141.105631510414,63549.78515625,-585.0230064478528,-452.7624565899679,708.7572544642857,77.90785126871441,2024,4,16,7,1,1
63282.42578125,63630.35546875,63137.5859375,63541.5078125,63105.201171875,64015.527994791664,63282.42578125,-546.9434030920602,2873.6327204149015,683.7374441964286,72.48132452789335,2024,4,16,8,1,0
63243.61328125,63553.45703125,63231.7734375,63308.66015625,63109.8525390625,63871.589680989586,63243.61328125,-513.9721366099693,-581.6248953945226,622.810546875,70.56041882549454,2024,4,16,9,1,0
62480.78125,63342.59765625,61844.4296875,63264.62890625,62992.609375,63700.762858072914,62480.78125,-543.1354130942636,-227.48292753285517,687.484375,32.806386006155556,2024,4,16,10,1,2
63157.90625,63231.546875,62450.07421875,62595.6640625,63010.57421875,63584.018391927086,63157.90625,-505.7788871136436,-1643.1684630149116,696.2904575892857,66.31861206056575,2024,4,16,11,1,1
63006.703125,63350.1875,62858.82421875,63112.15625,63081.25244140625,63454.634928385414,63006.703125,-482.80887944092683,-435.0959125515715,679.6043526785714,58.835276922838986,2024,4,16,12,1,0
62661.8671875,63322.80078125,62222.35546875,63055.109375,63073.20458984375,63321.783365885414,62661.8671875,-486.8186191054265,-258.65090923802006,735.9319196428571,41.76867933866403,2024,4,16,13,1,2
62187.19921875,63099.14453125,62100.7265625,62729.38671875,62946.28515625,63235.9794921875,62187.19921875,-522.277613567865,-184.67607118743206,757.8763950892857,18.27644338586696,2024,4,16,14,1,2
61914.6953125,62386.92578125,61822.8671875,62129.95703125,62741.89892578125,63126.636393229164,61914.6953125,-565.8451987470617,-154.67571073887808,748.4045758928571,4.905610315345106,2024,4,16,15,1,0
62482.14453125,62502.72265625,61740.91015625,61834.85546875,62641.86376953125,63055.273111979164,62482.14453125,-548.2643640014503,-251.24142389422974,753.8429129464286,36.16135745157676,2024,4,16,16,1,1
62379.78125,63284.203125,62348.10546875,62715.90234375,62533.884765625,62988.99462890625,62379.78125,-536.4079106223944,-370.91091571843754,772.5281808035714,31.167531843856477,2024,4,16,17,1,0
62986.125,62986.125,62509.86328125,62509.86328125,62597.052734375,62979.410481770836,62986.125,-472.6364538653288,543.1657358349887,718.4919084821429,60.7482067582916,2024,4,16,18,1,1
62777.23046875,63081.625,62699.03515625,63010.16015625,62549.46826171875,62948.502766927086,62777.23046875,-433.9508426156026,5246.034786606365,713.3816964285714,50.557219846478695,2024,4,16,19,1,0
63036.7890625,63036.7890625,62599.453125,62744.9609375,62553.22900390625,62942.330403645836,63036.7890625,-377.9907654385679,-1482.6397398435297,704.4732142857143,63.21986934681028,2024,4,16,20,1,0
64057.953125,64286.44921875,62996.23046875,63027.90625,62727.73974609375,62974.320475260414,64057.953125,-248.37943200427253,616.260925044776,752.3353794642857,91.0236657878826,2024,4,16,21,1,1
63811.66796875,64051.515625,63684.4375,64051.515625,62930.79833984375,62988.727376302086,63811.66796875,-163.64823528790293,591.7216538978196,743.357421875,81.34849875241308,2024,4,16,22,1,0
63777.359375,63880.1640625,63684.53125,63819.24609375,63163.63134765625,63003.020670572914,63984.52091471354,-98.1353252789122,586.7285328493326,734.3537946428571,80.00070589174076,2024,4,16,23,1,0
64022.68359375,64221.25390625,63651.4921875,63826.0625,63356.19873046875,63034.421223958336,63953.50887044271,-26.119172348466236,219.01288738799224,668.0390625,89.63812306455226,2024,4,17,0,2,0
64039.1640625,64064.98046875,63697.7734375,64040.2265625,63563.62158203125,63069.11962890625,63926.35262044271,31.916075145170907,308.2321965230805,638.4486607142857,90.28554855460993,2024,4,17,1,2,0
