Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-04-13 00:00:00+00:00,66902.9765625,67147.71875,66804.3203125,67147.71875,0
2024-04-13 01:00:00+00:00,65809.25,66923.1640625,65809.25,66923.1640625,1360953344
2024-04-13 02:00:00+00:00,66500.890625,66557.4765625,65898.859375,65898.859375,887877632
2024-04-13 03:00:00+00:00,67138.65625,67163.1953125,66510.8515625,66534.3203125,0
2024-04-13 04:00:00+00:00,67583.296875,67886.71875,67046.390625,67156.96875,744259584
2024-04-13 05:00:00+00:00,67374.2109375,67855.3203125,67374.2109375,67589.9375,623357952
2024-04-13 06:00:00+00:00,67496.9375,67496.9375,67298.2265625,67366.640625,168513536
2024-04-13 07:00:00+00:00,67430.4375,67553.6171875,67171.0703125,67493.234375,49893376
2024-04-13 08:00:00+00:00,67193.203125,67473.734375,67116.1171875,67473.734375,2957312
2024-04-13 09:00:00+00:00,67410.0234375,67473.109375,67155.3984375,67191.90625,0
2024-04-13 10:00:00+00:00,67460.7890625,67478.1484375,67347.9921875,67424.96875,0
2024-04-13 11:00:00+00:00,67382.390625,67746.75,67355.5703125,67457.59375,85143552
2024-04-13 12:00:00+00:00,67558.9140625,67615.046875,67197.5859375,67373.4921875,0
2024-04-13 13:00:00+00:00,67562.09375,67787.609375,67486.421875,67537.9375,0
2024-04-13 14:00:00+00:00,67548.7265625,67716.3359375,67421.4609375,67571.4375,0
2024-04-13 15:00:00+00:00,67723.484375,67888.078125,67484.8203125,67566.7109375,0
2024-04-13 16:00:00+00:00,67413.03125,67743.9296875,67352.5625,67694.953125,0
2024-04-13 17:00:00+00:00,66775.328125,67453.546875,66639.3984375,67453.546875,0
2024-04-13 18:00:00+00:00,67192.625,67203.53125,66493.71875,66713.5703125,0
2024-04-13 19:00:00+00:00,64292.5234375,67219.53125,64147.69140625,67182.3984375,0
2024-04-13 20:00:00+00:00,62081.703125,64880.13671875,61593.265625,64833.38671875,8741408768
2024-04-13 21:00:00+00:00,62989.5,62989.5,61858.48828125,61896.34765625,2831745024
2024-04-13 22:00:00+00:00,64571.68359375,64660.23828125,62325.23828125,62973.9453125,3430141952
2024-04-13 23:00:00+00:00,63988.14453125,65516.09375,63988.14453125,64374.32421875,2611953664
2024-04-14 00:00:00+00:00,63664.03125,64337.73046875,62988.99609375,64023.671875,2272047104
2024-04-14 01:00:00+00:00,63840.91015625,64073.1796875,63416.62109375,63728.41796875,103104512
