Close,High,Low,Open,SMA8,SMA24,SMA48,MACD,RSI,ATR,SO,Year,Month,Day,Hour,Weekday,Signal
XRP-USD,XRP-USD,XRP-USD,XRP-USD,,,,,,,,,,,,,
0.4928096532821655,0.4978531301021576,0.49003416299819946,0.4977339506149292,0.4928096532821655,0.4928096532821655,0.4928096532821655,0.0,715.3726180373837,0.00781896710395813,35.49689168740781,2024,4,16,0,1,0
0.4910293519496918,0.4973851442337036,0.4910033345222473,0.49285420775413513,0.4910293519496918,0.4910293519496918,0.4910293519496918,-0.00014201833991245305,715.3726180373837,0.006381809711456299,0.4076810281220521,2024,4,16,1,1,0
0.4939335882663727,0.4939335882663727,0.48826226592063904,0.491105854511261,0.4939335882663727,0.4939335882663727,0.4939335882663727,-1.999085629195152e-05,715.3726180373837,0.005671322345733643,100.0,2024,4,16,2,1,1
0.48929303884506226,0.49546581506729126,0.4870755672454834,0.49395185708999634,0.48929303884506226,0.48929303884506226,0.48929303884506226,-0.00029434374055375967,715.3726180373837,0.008390247821807861,26.429154974603065,2024,4,16,3,1,2
0.48231327533721924,0.48979705572128296,0.47938382625579834,0.48926153779029846,0.48231327533721924,0.48231327533721924,0.48231327533721924,-0.001062728488215814,715.3726180373837,0.01041322946548462,28.13199393262929,2024,4,16,4,1,2
0.48823922872543335,0.48918575048446655,0.48234501481056213,0.48234501481056213,0.48823922872543335,0.48823922872543335,0.48823922872543335,-0.0011799028380283794,715.3726180373837,0.006840735673904419,86.1634507726423,2024,4,16,5,1,1
0.4946518838405609,0.4955250322818756,0.4882987439632416,0.4882987439632416,0.4946518838405609,0.4946518838405609,0.4946518838405609,-0.000746709081967889,715.3726180373837,0.007226288318634033,87.91705502445623,2024,4,16,6,1,1
0.498517245054245,0.5009678602218628,0.4944184422492981,0.4946563243865967,0.49134840816259384,0.498517245054245,0.498517245054245,-9.045485624803451e-05,715.3726180373837,0.006549417972564697,62.58270310608749,2024,4,16,7,1,1
0.49698173999786377,0.49906304478645325,0.4960053563117981,0.49858585000038147,0.4918699190020561,0.49698173999786377,0.49698173999786377,0.00030224483013163717,715.3726180373837,0.0030576884746551514,31.932085108041992,2024,4,16,8,1,0
0.49323591589927673,0.49876511096954346,0.4932260513305664,0.4970269799232483,0.49214573949575424,0.49323591589927673,0.49323591589927673,0.0003076589602554747,715.3726180373837,0.005539059638977051,0.17809103626385453,2024,4,16,9,1,2
0.48760735988616943,0.4937933087348938,0.48104414343833923,0.4932558536529541,0.49135496094822884,0.48760735988616943,0.48760735988616943,-0.0001406069042003133,715.3726180373837,0.012749165296554565,51.47957764422346,2024,4,16,10,1,2
0.49266400933265686,0.4927217960357666,0.48729178309440613,0.48780128359794617,0.49177633225917816,0.49266400933265686,0.49266400933265686,-8.683055265301665e-05,715.3726180373837,0.005430012941360474,98.93579069269653,2024,4,16,11,1,1
