Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2024-04-13 00:00:00+00:00,3232.245361328125,3239.3603515625,3220.352294921875,3239.3603515625,0
2024-04-13 01:00:00+00:00,3154.799072265625,3233.630126953125,3151.0859375,3233.630126953125,732782592
2024-04-13 02:00:00+00:00,3211.33251953125,3214.8603515625,3161.0029296875,3161.0029296875,910483456
2024-04-13 03:00:00+00:00,3228.21923828125,3229.9951171875,3205.404052734375,3212.756591796875,422379520
2024-04-13 04:00:00+00:00,3259.3974609375,3264.53955078125,3226.141845703125,3231.535400390625,510195712
2024-04-13 05:00:00+00:00,3250.60205078125,3262.300537109375,3249.69873046875,3256.435791015625,278935552
2024-04-13 06:00:00+00:00,3267.111572265625,3267.111572265625,3248.888427734375,3249.723388671875,73103360
2024-04-13 07:00:00+00:00,3257.378173828125,3272.10791015625,3251.446044921875,3266.720703125,66985984
2024-04-13 08:00:00+00:00,3252.555908203125,3263.765869140625,3249.065673828125,3259.046630859375,0
2024-04-13 09:00:00+00:00,3267.114990234375,3270.358154296875,3250.011474609375,3252.6943359375,0
2024-04-13 10:00:00+00:00,3278.937255859375,3279.21142578125,3262.288818359375,3267.532470703125,0
2024-04-13 11:00:00+00:00,3269.50927734375,3297.2861328125,3268.141357421875,3277.60498046875,163504128
2024-04-13 12:00:00+00:00,3281.49853515625,3285.0458984375,3260.57373046875,3268.95654296875,0
2024-04-13 13:00:00+00:00,3271.65087890625,3289.88916015625,3267.227783203125,3279.4677734375,0
2024-04-13 14:00:00+00:00,3262.139404296875,3277.415283203125,3254.942138671875,3271.47216796875,0
2024-04-13 15:00:00+00:00,3274.147705078125,3295.791748046875,3257.85400390625,3262.833984375,4409344
2024-04-13 16:00:00+00:00,3243.297119140625,3278.326904296875,3239.14306640625,3273.488037109375,0
2024-04-13 17:00:00+00:00,3198.816162109375,3245.6123046875,3197.799072265625,3245.6123046875,0
2024-04-13 18:00:00+00:00,3234.739990234375,3236.805908203125,3187.614990234375,3192.676025390625,0
2024-04-13 19:00:00+00:00,3051.0751953125,3235.734619140625,3026.202880859375,3234.701171875,0
2024-04-13 20:00:00+00:00,2916.646728515625,3091.2763671875,2880.1171875,3085.97802734375,5736466432
2024-04-13 21:00:00+00:00,2950.73291015625,2950.73291015625,2866.697265625,2913.31884765625,1935792128
2024-04-13 22:00:00+00:00,3031.390869140625,3031.390869140625,2909.451904296875,2951.9375,1993455616
2024-04-13 23:00:00+00:00,3010.029296875,3059.830322265625,3010.029296875,3022.583984375,1015115776
2024-04-14 00:00:00+00:00,2963.5439453125,3021.7451171875,2914.4228515625,3012.05615234375,1095036928
2024-04-14 01:00:00+00:00,2997.611572265625,3010.065673828125,2945.47265625,2970.11669921875,80050176
2024-04-14 02:00:00+00:00,2962.4501953125,3007.8515625,2957.5537109375,2996.2451171875,0
2024-04-14 03:00:00+00:00,2974.326904296875,2974.467529296875,2915.76953125,2958.496337890625,589398016
2024-04-14 04:00:00+00:00,3046.526611328125,3047.407470703125,2970.55078125,2973.329833984375,700532736
2024-04-14 05:00:00+00:00,3075.2109375,3077.614013671875,3040.703125,3043.6357421875,453335040
2024-04-14 06:00:00+00:00,3093.648193359375,3100.342529296875,3057.87744140625,3074.63330078125,661272576
2024-04-14 07:00:00+00:00,3084.303955078125,3103.32568359375,3077.13232421875,3094.165771484375,193306624
2024-04-14 08:00:00+00:00,3070.110595703125,3100.28759765625,3061.2412109375,3086.373291015625,14792704
2024-04-14 09:00:00+00:00,3039.080322265625,3078.0830078125,3030.270751953125,3071.37939453125,625790976
2024-04-14 10:00:00+00:00,3057.548095703125,3065.038818359375,3034.44873046875,3044.287109375,392472576
2024-04-14 11:00:00+00:00,3028.7216796875,3060.87109375,3013.28955078125,3057.43359375,189380608
2024-04-14 12:00:00+00:00,3041.734130859375,3065.058837890625,3027.8271484375,3029.216552734375,402075648
2024-04-14 13:00:00+00:00,3035.3232421875,3067.168701171875,3032.77099609375,3046.31494140625,399990784
2024-04-14 14:00:00+00:00,3035.732421875,3052.33349609375,3010.71728515625,3036.0888671875,874008576
2024-04-14 15:00:00+00:00,3057.1884765625,3071.0869140625,3035.984130859375,3036.836669921875,453844992
2024-04-14 16:00:00+00:00,3082.373046875,3097.71923828125,3057.023193359375,3057.023193359375,117452800
